"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"events/join_event";"Take part";"Participer";"Prendi parte";"Teilnehmen";"Participar";"Участвовать";"Weź udział";"Zúčastnit se";"Katıl";"加\t入";"参加する";"Fazer parte";"Take part";"Взяти участь";"Učestvuj";"Részvétel";"참여";"Узяць удзел";"Participă";"加入";"加\t入";"NOT TRANSLATED";
"events/join_event_by_team";"Take part for the team {team}";"Participez pour l'équipe {team}";"Prendi parte per la squadra {team}";"Für Team {team} teilnehmen";"Tomar parte en el equipo {team}";"Участвовать за команду {team}";"Dołącz do drużyny {team}";"Zúčastnit se na straně {team}";"{team} takımı için katılın";"加\t入\t队\t伍\t {team}";"チーム: {team} に\t参加します。";"Fazer parte pela a equipa {team}";"Take part for the team {team}";"Брати участь за команду {team}";"Pridružite se timu {team}";"Részvétel a(z) {team} csapat oldalán";"Take part for the team {team}";"Узяць удзел за каманду {team}";"Participă pentru echipa {team}";"Take part for the team {team}";"加\t入\t队\t伍\t {team}";"NOT TRANSLATED";
"events/teamA";"Team A";"Équipe A";"Squadra A";"Team A";"Equipo A";"Команда А";"Drużyna A";"Tým A";"Takım A";"A \t队";"A チーム";"Equipe A";"Team A";"Команда А";"TIm A";"A csapat";"A 팀";"Каманда А";"Echipa A";"A 隊";"A \t队";"NOT TRANSLATED";
"events/teamB";"Team B";"Équipe B";"Squadra B";"Team B";"Equipo B";"Команда Б";"Drużyna B";"Tým B";"Takım B";"B \t队";"B チーム";"Equipe B";"Team B";"Команда Б";"Tim B";"B csapat";"B 팀";"Каманда Б";"Echipa B";"B 隊";"B \t队";"NOT TRANSLATED";
"events/ffa";"Free For All";"Chacun pour soi";"Per Tutti";"Jeder gegen Jeden";"Todos contra todos";"Все Против Всех";"Każdy na każdego";"Všichni proti všem";"Herkes Tek";"混\t战";"参加自由\tイベント";"Livre para todos";"Free For All";"Безкоштовно для всіх";"Free For All";"Mindenki mindenki ellen";"자유 전투";"Усе супраць усіх";"Fiecare contra tuturor";"Free For All";"混\t战";"NOT TRANSLATED";
"teamA";"A";"A";"A";"A";"A";"А";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"А";"A";"A";"A";;
"teamB";"B";"B";"B";"B";"B";"Б";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"B";"Б";"B";"B";"B";"NOT TRANSLATED";
"events/countres";"Countries:";"Pays:";"Nazioni:";"Nationen:";"Países";"Страны:";"Kraje:";"Země:";"Ülkeler:";"国\t家\t：";"国";"Países:";"Countries:";"Країни:";"Države:";"Nemzetek:";"선택 가능 국가:";"Дзяржавы:";"Țări:";"國家：";"国\t家\t：";"NOT TRANSLATED";
"events/required_crafts_no_colon";"Required vehicles";"Véhicules requis";"Unità richieste";"Erforderliche Fahrzeuge";"Vehículos requeridos";"Требуемая техника";"Wymagane maszyny";"Potřebné stroje";"Gerekli Araçlar";"需\t要\t载\t具";"必要機体";"Required vehicles";"Required vehicles";"Необхідна техніка";"Required vehicles";"Szükséges járművek";"Required vehicles";"Неабходная тэхніка";"Vehicule necesare";"Required vehicles";"需\t要\t载\t具";"NOT TRANSLATED";
"events/required_crafts";"Required vehicles:";"Véhicules requis :";"Unità richieste:";"Erforderliche Fahrzeuge:";"Vehículos requeridos:";"Требуемая техника:";"Wymagane maszyny:";"Potřebné stroje:";"Gerekli Araçlar:";"载\t具\t要\t求\t：";"必要機体:";"Veículos requeridos:";"Required vehicles:";"Необхідна техніка:";"Potrebna vozila:";"Szükséges járművek:";"필요 장비:";"Неабходная тэхніка:";"Vehicule necesare:";"载具要求：";"载\t具\t要\t求\t：";"NOT TRANSLATED";
