"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"missions/enemy_bombers_spawn";"Enemy bombers";"Bombardiers ennemis";"Bombardieri nemici";"Feindliche Bomber";"Bombarderos enemigos";"Бомбардировщики врага";"Bombowce wroga";"Nepřátelské bombardéry";"Düşman bombardıman uçakları";"敌\t军\t轰\t炸\t机";"敵軍爆撃機";"Bombardeiros Inimigos";"Enemy bombers";"Бомбардувальники ворога";"Neprijateljski bombarderi";"Ellenséges bombázók";"적 폭격기들";"Варожыя бамбардзіроўшчыкі";"Bombardiere inamice";"敌军轰炸机";"敌\t军\t轰\t炸\t机";;
"missions/friendly_bombers_spawn";"Allied bombers";"Bombardiers alliés";"Bombardieri alleati";"Verbündete Bomber";"Bombarderos aliados";"Союзные бомбардировщики";"Sojusznicze bombowce";"Spojenecké bombardéry";"Dost bombardıman uçakları";"友\t军\t轰\t炸\t机";"友軍爆撃機";"Bombardeiros aliados";"Allied bombers";"Союзні бомбардувальники";"Saveznički bombarderi";"Szövetséges bombázók";"아군 폭격기들";"Хаўрусныя бамбардзіроўшчыкі";"Bombardiere aliate";"友军轰炸机";"友\t军\t轰\t炸\t机";;
"missions/air_spawn";"Air point";"Point aérien";"Punto di rigenerazione aerea";"Lufteinstiegspunkt";"Punto aéreo";"Воздушная точка";"Punkt powietrzny";"letecká oblast";"Hava noktası";"空\t中\t出\t生\t点";"上空拠点";"Ponto aéreo";"Air point";"Повітряна точка";"Vazdušna tačka";"Légi pont";"공중 지점";"Паветраны пункт";"Intrare aeriană";"空中出生點";"空\t中\t出\t生\t点";;
"missions/air_spawn1";"Air point 1";"Point aérien 1";"Punto aereo";"Lufteinstiegspunkt #1";"Punto aéreo 1";"Воздушная точка 1";"Punkt powietrzny 1";"letecká oblast #1";"Hava noktası 1";"一\t号\t空\t中\t出\t生\t点";"上空拠点 1";"Ponto aéreo 1";"Air point 1";"Повітряна точка 1";"Vazdušna tačka 1";"Légi pont 1";"공중 지점 1";"Паветраны пункт 1";"Intrare aeriană 1";"一號空中出生點";"一\t号\t空\t中\t出\t生\t点";;
"missions/air_spawn2";"Air point 2";"Point aérien 2";"Punto di rigenerazione aerea 2";"Lufteinstiegspunkt #2";"Punto aéreo 2";"Воздушная точка 2";"Punkt powietrzny 2";"letecká oblast #2";"Hava noktası 2";"二\t号\t空\t中\t出\t生\t点";"上空拠点 2";"Ponto aéreo 2";"Air point 2";"Повітряна точка 2";"Vazdušna tačka 2";"Légi pont 2";"공중 지점 2";"Паветраны пункт 2";"Intrare aeriană 2";"二號空中出生點";"二\t号\t空\t中\t出\t生\t点";;
"missions/spawn_random";"Random point";"Point aléatoire";"Punto casuale";"Zufälliger Einstiegspunkt";"Punto aleatorio";"Случайная точка";"Losowy punkt odradzania";"náhodná oblast";"Rasgele nokta";"随\t机\t选\t择";"ランダムポイント";"Ponto aleatório";"Random point";"Довільна точка";"Nasumična tačka";"Véletlenszerű pont";"무작위 지점";"Выпадковы пункт";"Intrare aleatorie";"随机选择";"随\t机\t选\t择";;
"missions/spawn_destroyers_random";"Random point";"Point d’apparition des destroyers";"Punto casuale";"Zufälliger Einstiegspunkt";"Punto de aparición aleatorio de flota pequeña";"Случайная точка";"Losowy punkt odradzania małej floty";"náhodná oblast - malé lodě";"Random point";"随\t机\t选\t择";"Random point";"Ponto aleatório";"Random point";"Довільна точка";"Random point";"Random point";"소형함 무작위 스폰 지점";"Random point";"Intrare aleatorie";"Random point";"Small fleet random spawn point";;
"missions/spawn_cruisers_random";"Random point";"Point d'apparition des croiseurs";"Punto casuale";"Zufälliger Einstiegspunkt";"Punto de aparición aleatorio de flota grande";"Случайная точка";"Losowy punkt odradzania dużej floty";"náhodná oblast - velké lodě";"Random point";"随\t机\t选\t择";"Random point";"Ponto aleatório";"Random point";"Довільна точка";"Random point";"Random point";"대형함 무작위 스폰 지점";"Random point";"Intrare aleatorie";"Random point";"Big fleet random spawn point";;
"missions/spawn_number";"Spawn point #{number}";"Point de réapparition n°{number}";"Punto di rigenerazione n°{number}";"Einstiegspunkt #{number}";"Punto de reaparición #{number}";"Точка появления №{number}";"Punkt odradzania #{number}";"oblast #{number}";"Türeme noktası #{number}";"出\t生\t点\t #{number}";"スポーン ポイント #{number}";"Ponto de spawn #{number}";"Spawn point #{number}";"Точка появи № {number}";"Spawn mesto #{number}";"Belépőpont {number}";"부활 지점 #{number}";"Зыходны пункт №{number}";"Intrarea {number}";"地面出生點{number}";"出\t生\t点\t #{number}";;
"missions/spawn";"Spawn point";"Points de réapparition";"Punto di rigenerazione";"Einstiegspunkt";"Punto de reaparición";"Точка появления";"Punkt odradzania";"Oblast nasazení";"Türeme noktası";"出\t生\t点";"スポーンポイント";"Pontos de partida";"Spawn point";"Точка появи";"Startna tačka";"Belépőpont";"부활 지점";"Зыходны пункт";"Intrare";"出生点";"出\t生\t点";;
"missions/auto_spawn";"Auto ({spawn})";"Automatique ({spawn})";"Automatico ({spawn})";"Auto ({spawn})";"Automático ({spawn})";"Авто ({spawn})";"Automatycznie ({spawn})";"Automatická ({spawn})";"Otomatik ({spawn})";"自\t动\t选\t择\t（\t{spawn}\t）";"自動({spawn})";"Auto ({spawn})";"Auto ({spawn})";"Авто ({spawn})";"Auto ({spawn})";"Automatikus ({spawn})";"자동 ({spawn})";"Аўтаматычна ({spawn})";"Automat ({spawn})";"自動 ({spawn})";"自\t动\t选\t择\t（\t{spawn}\t）";"NOT TRANSLATED";
"missions/spawn_01";"Spawn point #1";"Point de réapparition #1";"Punto di rigenerazione #1";"Einstiegspunkt #1";"Punto de reaparición #1";"Точка появления №1";"Punkt odradzania #1";"oblast #1";"Türeme noktası #1";"一\t号\t出\t生\t点";"スポーンポイント #1";"Ponto de partida #1";"Spawn point #1";"Точка появи №1";"Startna tačka #1";"Belépőpont 1";"1번 부활 지점";"Зыходны пункт №1";"Intrarea 1";"出生点 #1";"出\t生\t点\t #1";;
"missions/spawn_02";"Spawn point #2";"Point de réapparition #2";"Punto di rigenerazione #2";"Einstiegspunkt #2";"Punto de reaparición #2";"Точка появления №2";"Punkt odradzania #2";"oblast #2";"Türeme noktası #2";"二\t号\t出\t生\t点";"スポーンポイント #2";"Ponto de partida #2";"Spawn point #2";"Точка появи №2";"Startna tačka #2";"Belépőpont 2";"2번 부활 지점";"Зыходны пункт №2";"Intrarea 2";"出生点 #2";"出\t生\t点\t #2";;
"missions/spawn_03";"Spawn point #3";"Point de réapparition #3";"Punto di rigenerazione #3";"Einstiegspunkt #3";"Punto de reaparición #3";"Точка появления №3";"Punkt odradzania #3";"oblast #3";"Türeme noktası #3";"三\t号\t出\t生\t点";"スポーンポイント #3";"Ponto de partida #3";"Spawn point #3";"Точка появи №3";"Startna tačka #3";"Belépőpont 3";"3번 부활 지점";"Зыходны пункт №3";"Intrarea 3";"出生点 #3";"出\t生\t点\t #3";;
"missions/spawn_04";"Spawn point #4";"Point de réapparition #4";"Punto di rigenerazione #4";"Einstiegspunkt #4";"Punto de reaparición #4";"Точка появления №4";"Punkt odradzania #4";"oblast #4";"Türeme noktası #4";"四\t号\t出\t生\t点";"スポーンポイント #4";"Ponto de partida #4";"Spawn point #4";"Точка появи №4";"Startna tačka #4";"Belépőpont 4";"4번 부활 지점";"Зыходны пункт №4";"Intrarea 4";"出生点 #4";"出\t生\t点\t #4";;
