"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"fr_wound_medal/name";"Medal For ""Combat wound""";"Médaille des blessés au combat";"Medaglia ""Ferito in combattimento""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Знак отличия ""За боевое ранение""";"Medal Rannych";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Відзнака ""За бойове поранення""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medal For ""Combat wound""";"Medalie pentru „Rănit în luptă”";"Medal For ""Combat wound""";"Medal For ""Combat wound""";;
"fr_wound_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_war_medal/name";"Commemorative medal of the war 1939-1945";"Médaille commémorative française de la guerre 1939-1945";"Medaglia commemorativa della guerra 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Памятная медаль войны 1939-1945";"Medal Pamiątkowy Wojny 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Пам'ятна медаль війни 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";"Medalie comemorativă a războiului 1939-1945";"Commemorative medal of the war 1939-1945";"Commemorative medal of the war 1939-1945";;
"fr_war_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_war_cross/name";"Cross of War";"Croix de guerre";"Croce di Guerra";"Cross of War";"Cross of War";"Военный крест 1939-1945";"Krzyż Wojenny";"Cross of War";"Cross of War";"Cross of War";"Cross of War";"Cross of War";"Cross of War";"Військовий хрест 1939-1945";"Cross of War";"Cross of War";"Cross of War";"Cross of War";"Crucea războiului";"Cross of War";"Cross of War";;
"fr_war_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_volunteer_resistance_cross/name";"Cross of the resistance volunteer";"Croix du combattant volontaire de la Résistance";"Croce dei volontari della resistenza";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Крест добровольца сопротивления";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Хрест добровольця опору";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Cross of the resistance volunteer";"Crucea voluntarilor rezistenței";"Cross of the resistance volunteer";"Cross of the resistance volunteer";;
"fr_volunteer_resistance_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_volunteer_cross/name";"Volunteer cross 1939-1945";"Croix du combattant volontaire (1939-1945)";"Croce dei volontari 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Крест добровольца 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Хрест добровольця 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";"Crucea voluntarilor 1939-1945";"Volunteer cross 1939-1945";"Volunteer cross 1939-1945";;
"fr_volunteer_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_valour_cross/name";"Cross for Military Valour";"Croix de la Valeur militaire";"Croce al Valore Militare";"Cross for Military Valour";"Cross for Military Valour";"Крест Воинской доблести";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Хрест Військової доблесті";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Cross for Military Valour";"Crucea valorii militare";"Cross for Military Valour";"Cross for Military Valour";;
"fr_valour_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_service_medal/name";"Medal of service in Free France";"Médaille des services volontaires dans la France libre";"Medaglia di servizio nella Liberazione della Francia";"Medal of service in Free France";"Medal of service in Free France";"Медаль службы в Свободной Франции";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Медаль служби у Вільній Франції";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Medal of service in Free France";"Medalia pentru serviciul în Franța liberă";"Medal of service in Free France";"Medal of service in Free France";;
"fr_service_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"fr_resistance_medal/name";"Resistance Medal";"Médaille de la Résistance française";"Medaglia della Resistenza";"Resistance Medal";"Resistance Medal";"Медаль Сопротивления";"Medal Ruchu Oporu";"Resistance Medal";"Resistance Medal";"Resistance Medal";"Resistance Medal";"Resistance Medal";"Resistance Medal";"Медаль Опору";"Resistance Medal";"Resistance Medal";"Resistance Medal";"Resistance Medal";"Medalia rezistenței";"Resistance Medal";"Resistance Medal";;
"fr_resistance_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
