"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"___p5";"sample";"sample";"esempio";"Beispiel";"muestra";"пример1";"przykład";"vzorek";"örnek";"试\t样";"サンプル";"sample";"sample";"зразок";"primer";"minta";"맛보기";"прыклад";"sample";"sample";"sample";;
"title/title_reconstructor";"Re-Enactor";"Re-Enactor";"Ricostruttore";"Nachsteller";"Representador";"Реконструктор";"Rekonstruktor";"Reenactor";"Yeniden canlandırıcı";"Re-enactor";"再上演者";"Re-Enactor";"Re-Enactor";"Реконструктор";"Re-enaktor";"Rekonstruáló";"Re-enactor";"Рэканструктар";"Re-Enactor";"Re-Enactor";"Re-Enactor";;
"title_reconstructor/desc";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Per tutti i giocatori che hanno organizzato e supportato attivamente gli eventi dedicati alle battaglie storiche.";"Wird an Spieler verliehen, die aktiv an der Organisation und Unterstützung von Spielern ins Leben gerufenen Ereignissen zur Nachstellung historischer Schlachten teilgenommen haben.";"Se dará a jugadores activos que organizaron y apoyaron eventos creados por usuarios dedicados a batallas históricas.";"Выдаётся активным игрокам, организующим и поддерживающим пользовательские события, посвящённые историческим битвам.";"Nadawany aktywnym graczom, którzy organizowali i wspierali tworzenie wydarzeń poświęconych bitwom historycznym.";"organizace a podpora historických eventů";"Kullanıcı tarafından üretilmiş tarihsel savaşlara adanmış etkinlikleri organize eden ve destekleyen aktif oyunculara verilecektir.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"ヒストリカルバトルに\t特化した\tユーザー\t作成の\tイベントを\t企画した\tユーザーに\t与えられます。";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Видається активним гравцям, які організовують і підтримують пользовательскі події, присвячені історичним битвам.";"Biće dodeljen aktivnim igračima koji su organizovali i podržali događaje korisnika posvećene istorijskim bitkama.";"Azon játékosok részére, akik aktívan részt vettek történelmi csaták szervezésében és támogatásában.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Даецца актыўным гульцам, якія арганізоўваюць і падтрымліваюць карыстальніцкія падзеі, прысвечаныя гістарычным бітвам.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";"Will be given to active players who organised and supported user created events dedicated to the histrorical battles.";;
"title/title_2v2_master";"2v2 Master-Duelist";"2v2 Master-Duelist";"Maestro Duellante 2v2";"2v2-Duellmeister";"Maestro duelista 2c2";"Мастер-дуэлянт 2v2";"Mistrz pojedynków 2 na 2";"Mistr duelant 2 vs. 2";"2v2 Usta-düellocu";"2v2 Master-duelist";"2v2 マスターデュエリスト";"2v2 Master-Duelist";"2v2 Master-Duelist";"2v2 Майстер-дуелянт";"2 na 2 Majstor-duelist";"2×2 párbajmester";"2v2 Master-duelist";"Майстар-дуэлянт 2v2";"2v2 Master-Duelist";"2v2 Master-Duelist";"2v2 Master-Duelist";;
"title/title_vk_quiz_expert_16";"Answer 7 of 10 questions correctly using FB application.";"Answer 7 of 10 questions correctly using FB application.";"Rispondi correttamente a 7 domande di 10 utilizzando l'applicazione di FB.";"Beantworte 7 von 10 Fragen richtig in der Facebook-App!";"Responde correctamente 7 preguntas de 10 utilizando la aplicación de FB.";"Ответь правильно на 7 из 10 вопросов в приложении ВКонтакте.";"Odpowiedz prawidłowo na 7 z 10 pytań używając aplikacji FB.";"Odpověz správně 7 z 10 otázek pomocí FB aplikace";"FB uygulamasını kullanarak 10 sorudan 7'sini doğru olarak cevapla.";"Answer 7 of 10 questions correctly using FB application.";"Facebook\tアプリを\t使用して\t10個中\t7個の\t質問に\t正しく\t答えてください。";"Answer 7 of 10 questions correctly using FB application.";"Answer 7 of 10 questions correctly using FB application.";"Відповідай правильно на 7 з 10 питань в додатку ВКонтакте.";"Odgovori tačno na 7 od 10 pitanja koristeći FB aplikaciju.";"Válaszolj helyesen 10 kérdésből 7-re a Facebook alkalmazás használatával.";"페이스북 응용 프로그램을 사용하여 10문제중 7문제 이상을 맞추세요!";"Адкажыце правільна на 7 з 10 пытанняў у праграме ВКонтакте.";"Answer 7 of 10 questions correctly using FB application.";"Answer 7 of 10 questions correctly using FB application.";"Answer 7 of 10 questions correctly using FB application.";;
"title_vk_quiz_expert_16/desc";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Titolo assegnato per la partecipazione al quiz di FB.
Più informazioni sulla nostra pagina ufficiale http://www.facebook.com/WarThunder";"Der Titel wird für die Teilnahme am Facebook-Quiz vergeben.
Weitere Informationen auf unserer offiziellen FB-Seite: http://www.facebook.com/WarThunder";"El título premia la participación en el concurso de FB.
Más información en nuestra página oficial http://www.facebook.com/WarThunder";"Титул выдаётся за участие в викторине в приложении ВКонтакте. 
Подробности в группе http://vk.com/warthunder";"Tytuł przyznawany jest za udział w Quizie FB.
Więcej informacji na naszej oficjalnej stronie http://www.facebook.com/WarThunder";"Titul je udělován za účast v FB kvízu. Další informace na naší oficiální stránce http://www.facebook.com/WarThunder";"Ünvan FB testine katılım için verilmiştir.
Daha fazla bilgi resmi web sayfamızdadır http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Facebookの\tクイズに\t参加することによって\t称号が\t授与されます。\t
詳細については、\t公式\tFacebook\tページをご\t覧ください http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Титул видається за участь у вікторині в додатку ВКонтакте.
Подробиці в групі http://vk.com/warthunder";"Titula je dodeljena za učestvovanje u fejsbuk kvizu.
Više informacija na našoj zvaničnoj stranici http://www.facebook.com/WarThunder";"Ez a titulus a Facebook kvíz résztvevőinek jutalma.
További információ a hivatalos oldalon: http://www.facebook.com/WarThunder";"이 칭호는 페이스북 퀴즈에 참여한 보상으로 지급됩니다. 자세한 내용은 워썬더 공식 페이스북(http://www.facebook.com/WarThunder)을 참고하세요.";"Тытул даецца за ўдзел у віктарыне ў праграме ВКонтакте. 
Падрабязней чытайце ў суполцы http://vk.com/warthunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";"Title is awarded for participation in the FB quiz.
More information on our official page http://www.facebook.com/WarThunder";;
"title/title_guardian";"Royal Guard";"Royal Guard";"Guardia Reale";"Königliche Garde";"Guardia Real";"Гвардеец";"Królewski Strażnik";"Královská garda";"Kraliyet Muhafızı";"Royal Guard";"イギリス\t近衛兵";"Royal Guard";"Royal Guard";"Гвардієць";"Kraljevski Gardista";"Királyi gárda";"근위병";"Гвардзеец";"Royal Guard";"Royal Guard";"Royal Guard";;
"title/title_guardian/desc";"British ground forces tester.";"British ground forces tester.";"Collaudatore delle forze terrestri Britanniche.";"Verliehen an die Tester der britischen Landstreitkräfte.";"Probador de fuerzas de tierra británicas.";"Участник тестирования наземной техники Великобритании.";"Tester Brytyjskich Wojsk Lądowych.";"Tester Britských pozemních sil";"İngiliz yer birimleri test edici.";"British ground forces tester.";"イギリス\t陸軍\tテスター。";"British ground forces tester.";"British ground forces tester.";"Учасник тестування наземної техніки Великобританії.";"Tester Britanskih kopnenih trupa.";"Brit szárazföldi erők tesztelője.";"British ground forces tester.";"Удзельнік тэставання наземнай тэхнікі Вялікабрытаніі.";"British ground forces tester.";"British ground forces tester.";"British ground forces tester.";;
"title/title_russian_bias";"Master of Russian Bias";"Master of Russian Bias";"Maestro della Supremazia Russa";"Meister des Russian Bias";"Maestro de la parcialidad rusa";"Master of Russian Bias";"Wzorzec Radzieckiej Doskonałości";"Mistr Russian Bias";"Rus Yanlısı Ustası";"Master of Russian Bias";"ロシアンバイアスマスター";"Master of Russian Bias";"Master of Russian Bias";"Master of Russian Bias";"Gospodar Ruskih Predrasuda";"Russian Bias mestere";"Master of Russian Bias";"Master of Яussian Bias";"Master of Russian Bias";"Master of Russian Bias";"Master of Russian Bias";;
"title_russian_bias/desc";;;;;;;;;;;;;;;;;;;;;;;
"title/title_defender_realm";"Defender of the Realm";"Defender of the Realm";"Difensore del Regno";"Verteidiger des Reiches";"Defensor del reino";"Защитник Королевства";"Obrońca Włości";"Obránce říše";"Krallığın Koruyucusu";"Defender of the Realm";"王国の\t守護者";"Defender of the Realm";"Defender of the Realm";"Захисник Королівства";"Branilac Carstva";"A birodalom védelmezője";"Defender of the Realm";"Абаронца Каралеўства";"Defender of the Realm";"Defender of the Realm";"Defender of the Realm";;
"title_defender_realm/desc";;;;;;;;;;;;;;;;;;;;;;;
"title/title_steel_legion";"Steel Legion";"Légion d'Acier";"Legione d'acciaio";"Stählerne Legion";"Legión de acero";"Стальной Легион";"Pancerny Legion";"Ocelová legie";"Çelik Lejyon";"Steel Legion";"鋼の\t軍団";"Legião de Aço";"Steel Legion";"Сталевий Легіон";"Čelična Legija";"Acél légió";"Steel Legion";"Сталёвы Легіён";"Steel Legion";"Steel Legion";"Steel Legion";;
"title_steel_legion/desc";;;;;;;;;;;;;;;;;;;;;;;
"title/title_iron_warrior";"Iron Warrior";"Guerrier de Fer";"Guerriero di Ferro";"Eiserner Krieger";"Guerrero de hierro";"Железный Воин";"Żelazny Wojownik";"Železný bojovník";"Demir Savaşçı";"Iron Warrior";"鉄の\t戦士";"Soldado de Ferro";"Iron Warrior";"Залізний Воїн";"Gvozdeni Ratnik";"Vasharcos";"강철 전사";"Жалезны воін";"Iron Warrior";"Iron Warrior";"Iron Warrior";;
"title_iron_warrior/desc";;;;;;;;;;;;;;;;;;;;;;;
"title/title_gladiators_2x2";"Gladiators 2x2";"Gladiateurs 2x2";"Gladiators 2x2";"Gladiatoren 2x2";"Gladiadores 2x2";"Гладиаторы 2х2";"Gladiatorzy 2x2";"Gladiátory 2x2";"Gladyatörler 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiadores 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";"Gladiators 2x2";;
"title_gladiators_2x2/desc";;;;;;;;;;;;;;;;;;;;;;;
"title/title_one_for_all";"One for All";"One for All";"Uno per tutti";"Einer für Alle";"Uno para todos";"Один за всех";"Jeden za wszystkich";"Jeden za všechny";"Birimiz Hepimiz İçin";"One for all";"チームワーク";"One for All";"One for All";"Один за всіх";"Jedan za sve";"Egy mindenkiért";"모두를 위한 하나";"Адзін за ўсіх";"One for All";"One for All";"One for All";;
"title/enlisted";"Enlisted";"Enlisted";"Arruolato";"Enlisted";"Enlisted";"Enlisted";"Enlisted";"Enlisted";"Kayıtlı";"Enlisted";"Enlisted";"Enlisted";"Enlisted";"Enlisted";"Upisan";"Enlisted";"Enlisted";"Enlisted";"Enlisted";"Enlisted";"Enlisted";;
"title_one_for_all/desc";;;;;;;;;;;;;;;;;;;;;;;
